	Dgbn_24	Dgbn_45	WT_24	WT_45
SCO0241	7.326337332485733	7.667298244332836	7.349759390601729	7.540103428622643
SCO0242	9.294414457635897	8.565799351185241	9.227987921872243	9.038575561438408
SCO0243	8.31405113243517	7.8262425842383605	8.271281812788084	8.233130846002187
SCO0244	8.173907800078906	7.795550618339036	8.18984856888621	7.941612595792653
SCO0245	7.979952938260694	7.886185951139853	7.9210185414065295	8.08530933628837
SCO0246	8.637254888066943	8.561230484969409	8.536558729367359	8.77748129272877
SCO0247	10.9604986310593	9.88565645734824	10.300163970258298	9.740338517860351
SCO0248	9.656904049160056	8.655330108761868	9.16682366794949	8.613644890527
SCO0249	8.74370983880914	8.235389327491989	8.311012718620447	8.044160018638243
SCO0250	8.01341717151151	8.084235464872014	7.944770654714486	8.068883762552778
SCO0251	7.36154039469904	7.573250712417134	7.437981431848486	7.641573605236117
SCO0252	7.834130747111707	7.70583448251103	7.77396813514278	7.65984244355104
SCO0253	7.996676813375948	7.4846304825394165	7.919188541458997	7.6750073573157165
SCO0254	8.608982056824795	8.017713063353767	8.476642970583406	8.001379172037565
SCO0255	7.773789480810527	8.679351263480067	7.94315433763985	8.62984538486312
SCO0256	9.116896803236113	9.251917030086153	9.846962209089925	9.75405838117937
SCO0257	8.781970228575567	8.874712809937591	9.368378825982143	9.382711642645402
SCO0258	8.739647826117283	8.856199878257776	9.410085272513022	9.308696503590435
SCO0259	8.823098762245664	9.073066068082797	9.44847854816657	9.422955078609172
SCO0260	8.854767344379006	9.520648091859147	9.102400924757804	10.115712154612133
SCO0261	7.614577205582317	7.832281286491313	7.64014854452288	7.967932203420523
SCO0262	8.104410367026007	8.273815158858053	8.103098795433167	8.301011908387276
SCO0263	7.496587641302927	7.728210388832623	7.54525615007082	7.743284283655233
SCO0264	8.318684729331054	8.419766831920489	8.244937381066286	8.546373250247534
SCO0265	8.547820076163859	10.804532392713199	8.42280737025262	10.7950803314816
SCO0266	7.699376518350224	9.25862237459883	7.603039589740863	9.3030114599951
SCO0267	7.045785596705707	7.288087784089807	6.94560901157057	7.317081148542807
SCO0268	8.894570134336737	8.475639100960885	8.580048465202523	8.433149763294447
SCO0269	9.226706834208834	8.810348087887366	8.95740562596233	8.405715438956248
SCO0270	7.8993739173917	7.692463226735519	7.822337221876553	7.620597804067209
SCO0271	7.24560166426161	7.311265646025309	7.182141736760587	7.299446651851363
SCO0272	6.870668018236697	6.954995236997064	6.9969804520981995	6.936906082140873
SCO0273	7.176302717978669	7.130812614054463	7.2416974468963	7.187660673864326
SCO0274	7.326678031689287	7.43656201797992	7.374697354181527	7.319394311258599
SCO0275	8.22168031608814	8.180417360029017	8.204055559348674	8.172889875013551
SCO0276	8.84855681295719	8.199683071890503	8.839229406813596	8.238941553327447
SCO0277	8.649740511604879	8.004198201444352	8.725096442608866	8.20860695510873
SCO0278	7.214767871817337	7.17265048158394	7.120886343133576	7.158652639804153
SCO0279	8.188539923072604	8.059060632972546	8.161982969181377	8.033144603635906
SCO0280	7.550246878062343	7.349319332733397	7.5586763641457635	7.321925776071757
SCO0281	7.03229587033157	7.001247695524893	7.108599694870446	6.952305056563
SCO0282	7.97406808249177	7.873355912156794	7.915958866115486	7.906690855309484
SCO0283	7.070555654108723	7.343761463200457	7.052318293841487	7.26468096284885
SCO0284	8.328996415443656	8.603631464441628	8.430412837520974	9.03731229213845
SCO0285	8.14676997792182	9.540834186146723	8.083673337022043	9.900123848265443
SCO0286	8.111756650914367	8.155508775315907	8.105020611335426	8.427166075640004
SCO0287	8.084235625782009	7.976501368367553	8.00953519532486	8.185236451630521
SCO0288	7.659702238685424	7.4729159383536405	7.632322919764216	7.524020095502524
SCO0289	8.728687933864627	8.516254754308374	8.631904313860856	8.461489313719676
SCO0290	6.989716403200586	7.12701257462241	6.939118416233807	6.982315343671163
SCO0291	7.27056749371673	7.13827028272036	7.234912861218263	7.240629948726673
SCO0292	7.229258174132	7.198032899152897	7.2005351423771335	7.07706381485738
SCO0293	7.682537542522127	7.562800873889263	7.5750960336571636	7.402854291279937
SCO0294	7.797105916550393	7.465364912467923	7.6932937667032135	7.51767843054636
SCO0295	7.5651279310005295	7.5785214533996	7.544804257113021	7.629208525075664
SCO0296	7.761032676600354	7.8066812274324064	7.728932385659998	7.806026699002573
SCO0297	13.181870402461334	11.419547661788366	12.107384756876899	10.118361258271998
SCO0298	11.029364968333633	9.865374199052502	10.25978249141034	9.463101397891794
