Geneid	Dgbn_24	Dgbn_45	WT_24	WT_45
SCO0958	3	3	3	3
SCO0959	3	3	3	3
SCO0960	3	3	3	3
SCO0961	3	3	3	3
SCO0962	3	3	3	3
SCO0963	3	3	3	3
SCO0964	3	3	3	3
SCO0965	3	3	3	3
SCO0966	3	3	3	3
SCO0967	3	3	3	3
SCO0968	3	3	3	3
SCO0969	3	3	3	3
SCO0970	3	3	3	3
SCO0971	3	3	3	3
SCO0972	3	3	3	3
SCO0973	3	3	3	3
SCO0974	3	3	3	3
SCO0975	3	3	3	3
SCO0976	3	3	3	3
SCO0977	3	3	3	3
SCO0978	3	3	3	3
SCO0979	3	3	3	3
SCO0980	3	3	3	3
SCO0981	3	3	3	3
SCO0982	3	3	3	3
SCO0983	3	3	3	3
SCO0984	3	3	3	3
SCO0985	3	3	3	3
SCO0986	3	3	3	3
SCO0987	3	3	3	3
SCO0988	3	3	3	3
SCO0989	3	3	3	3
SCO0990	3	3	3	3
SCO0991	3	3	3	3
SCO0992	3	3	3	3
SCO0993	3	3	3	3
SCO0994	3	3	3	3
SCO0995	3	3	3	3
SCO0996	3	3	3	3
SCO0997	3	3	3	3
SCO0998	3	3	3	3
SCO0999	3	3	3	3
SCO1000	3	3	3	3
SCO1001	3	3	3	3
SCO1002	3	3	3	3
SCO1003	3	3	3	3
SCO1004	3	3	3	3
SCO1005	3	3	3	3
SCO1006	3	3	3	3
SCO1007	3	3	3	3
SCO1008	3	3	3	3
SCO1009	3	3	3	3
SCO1010	3	3	3	3
SCO1011	3	3	3	3
SCO1012	3	3	3	3
SCO1013	3	3	3	3
SCO1014	3	3	3	3
SCO1015	3	3	3	3
SCO1016	3	3	3	3
SCO1017	3	3	3	3
SCO1018	3	3	3	3
SCO1019	3	3	3	3
SCO1020	3	3	3	3
